Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Paris Bercy Bourgogne_Pays d'Auvergne;87686667;75012;a;3347763;3474572;2498330;2592964;4318464;4482042;3983108;4133983;4003278;4154918;3702383;3842624;3823448;3968276
Paris Gare de Lyon;87686006;75012;a;79986275;100871407;55824824;67873723;112644337;140121852;111226947;137769853;113962625;141761340;111664289;138682324;111506043;138936295
Paris Montparnasse;87391003;75015;a;41043477;51406616;32439307;40615322;61374035;76622754;59174531;73296349;57752741;72096491;55162747;68903364;55167519;68930457
Paris Gare du Nord;87758904;75010;a;126622180;148849186;92236287;107666015;244759909;272898471;244502421;271824491;248007131;275962568;242319816;268774859;238424127;263994241
Cormeilles-en-Parisis;87381863;95240;b;3317416;3317416;1878474;1878474;3683266;3683266;3750496;3750496;3830848;3830848;3843422;3843422;3651596;3651596
Paris Austerlitz;87547000;75013;a;22281301;22814864;13203603;13602554;21682820;22423095;21821140;22535671;23212805;24037704;23073881;23872118;23300254;24119239
Paris Est;87113001;75010;a;27758686;35041906;21580625;27242868;41240098;52060520;39301206;49612908;38455354;48545125;35820125;45218475;34919689;44081786
Paris Saint-Lazare;87384008;75008;a;91502192;122002923;114468385;152624513;107340421;143120561;108075780;144101040;109956754;146609005;108771941;145029255;107165727;142887636
