time,temperature_2m (°C)
0,2019-01-01,7.558333333333334
1,2019-01-02,5.420833333333333
2,2019-01-03,2.3249999999999997
3,2019-01-04,1.5
4,2019-01-05,2.875
5,2019-01-06,3.725
6,2019-01-07,5.408333333333334
7,2019-01-08,7.4624999999999995
8,2019-01-09,4.183333333333334
9,2019-01-10,1.7375
10,2019-01-11,4.454166666666667
11,2019-01-12,6.345833333333334
12,2019-01-13,9.2625
13,2019-01-14,7.533333333333334
14,2019-01-15,5.425
15,2019-01-16,4.779166666666667
16,2019-01-17,4.608333333333333
17,2019-01-18,0.2833333333333334
18,2019-01-19,0.5791666666666667
19,2019-01-20,2.3874999999999997
20,2019-01-21,-1.6208333333333333
21,2019-01-22,-0.2833333333333333
22,2019-01-23,1.1166666666666667
23,2019-01-24,-0.10416666666666667
24,2019-01-25,2.858333333333333
25,2019-01-26,7.7250000000000005
26,2019-01-27,5.833333333333333
27,2019-01-28,3.2708333333333335
28,2019-01-29,0.575
29,2019-01-30,1.1166666666666667
30,2019-01-31,-0.42916666666666664
31,2019-02-01,4.933333333333334
32,2019-02-02,4.166666666666667
33,2019-02-03,2.6166666666666667
34,2019-02-04,0.8375
35,2019-02-05,3.5416666666666665
36,2019-02-06,7.633333333333333
37,2019-02-07,8.604166666666666
38,2019-02-08,8.424999999999999
39,2019-02-09,9.116666666666667
40,2019-02-10,8.125
41,2019-02-11,5.125
42,2019-02-12,2.5875
43,2019-02-13,3.5666666666666664
44,2019-02-14,4.183333333333334
45,2019-02-15,5.516666666666667
46,2019-02-16,5.570833333333333
47,2019-02-17,6.841666666666666
48,2019-02-18,6.8625
49,2019-02-19,7.825
50,2019-02-20,7.541666666666667
51,2019-02-21,7.554166666666667
52,2019-02-22,7.754166666666666
53,2019-02-23,8.4125
54,2019-02-24,6.095833333333334
55,2019-02-25,7.116666666666667
56,2019-02-26,8.116666666666667
57,2019-02-27,8.691666666666666
58,2019-02-28,9.233333333333333
59,2019-03-01,9.924999999999999
60,2019-03-02,9.866666666666667
61,2019-03-03,11.945833333333333
62,2019-03-04,8.845833333333333
63,2019-03-05,7.341666666666666
64,2019-03-06,10.504166666666666
65,2019-03-07,9.229166666666666
66,2019-03-08,8.320833333333333
67,2019-03-09,10.716666666666667
68,2019-03-10,10.429166666666667
69,2019-03-11,6.208333333333333
70,2019-03-12,6.983333333333333
71,2019-03-13,7.075
72,2019-03-14,8.466666666666667
73,2019-03-15,11.35
74,2019-03-16,11.004166666666668
75,2019-03-17,7.758333333333333
76,2019-03-18,6.7124999999999995
77,2019-03-19,5.583333333333333
78,2019-03-20,8.075000000000001
79,2019-03-21,9.125
80,2019-03-22,9.291666666666666
81,2019-03-23,8.045833333333333
82,2019-03-24,8.779166666666667
83,2019-03-25,6.745833333333334
84,2019-03-26,7.108333333333333
85,2019-03-27,7.833333333333333
86,2019-03-28,8.908333333333333
87,2019-03-29,10.508333333333333
88,2019-03-30,11.408333333333333
89,2019-03-31,12.225
90,2019-04-01,12.541666666666666
91,2019-04-02,11.233333333333334
92,2019-04-03,6.2124999999999995
93,2019-04-04,5.5375000000000005
94,2019-04-05,7.9875
95,2019-04-06,10.066666666666666
96,2019-04-07,10.2125
97,2019-04-08,11.366666666666667
98,2019-04-09,10.525
99,2019-04-10,9.674999999999999
100,2019-04-11,8.058333333333334
101,2019-04-12,6.75
102,2019-04-13,5.370833333333334
103,2019-04-14,4.620833333333333
104,2019-04-15,8.391666666666667
105,2019-04-16,10.379166666666666
106,2019-04-17,12.008333333333333
107,2019-04-18,15.783333333333333
108,2019-04-19,16.491666666666667
109,2019-04-20,17.229166666666668
110,2019-04-21,16.704166666666666
111,2019-04-22,16.587500000000002
112,2019-04-23,16.337500000000002
113,2019-04-24,14.270833333333334
114,2019-04-25,12.125
115,2019-04-26,11.670833333333334
116,2019-04-27,10.545833333333333
117,2019-04-28,9.070833333333333
118,2019-04-29,9.5625
119,2019-04-30,11.941666666666668
120,2019-05-01,12.200000000000001
121,2019-05-02,11.483333333333334
122,2019-05-03,10.716666666666667
123,2019-05-04,7.158333333333334
124,2019-05-05,7.8875
125,2019-05-06,7.770833333333333
126,2019-05-07,10.549999999999999
127,2019-05-08,12.995833333333332
128,2019-05-09,12.737499999999999
129,2019-05-10,11.504166666666668
130,2019-05-11,11.895833333333334
131,2019-05-12,9.816666666666666
132,2019-05-13,11.125
133,2019-05-14,12.020833333333334
134,2019-05-15,12.237499999999999
135,2019-05-16,12.120833333333332
136,2019-05-17,14.329166666666666
137,2019-05-18,14.375
138,2019-05-19,14.225
139,2019-05-20,13.541666666666666
140,2019-05-21,14.479166666666666
141,2019-05-22,15.016666666666666
142,2019-05-23,16.783333333333335
143,2019-05-24,16.691666666666666
144,2019-05-25,15.945833333333333
145,2019-05-26,15.258333333333333
146,2019-05-27,16.195833333333333
147,2019-05-28,13.7125
148,2019-05-29,14.0
149,2019-05-30,17.108333333333334
150,2019-05-31,17.979166666666668
151,2019-06-01,20.662499999999998
152,2019-06-02,23.745833333333334
153,2019-06-03,19.054166666666667
154,2019-06-04,19.325
155,2019-06-05,14.5
156,2019-06-06,14.341666666666667
157,2019-06-07,14.945833333333333
158,2019-06-08,15.033333333333333
159,2019-06-09,15.508333333333333
160,2019-06-10,14.658333333333333
161,2019-06-11,13.016666666666666
162,2019-06-12,13.216666666666667
163,2019-06-13,14.920833333333334
164,2019-06-14,17.229166666666668
165,2019-06-15,17.545833333333334
166,2019-06-16,17.208333333333332
167,2019-06-17,19.0625
168,2019-06-18,21.3625
169,2019-06-19,20.141666666666666
170,2019-06-20,17.341666666666665
171,2019-06-21,16.6125
172,2019-06-22,18.466666666666665
173,2019-06-23,22.28333333333333
174,2019-06-24,25.0625
175,2019-06-25,26.233333333333334
176,2019-06-26,26.6125
177,2019-06-27,25.55
178,2019-06-28,24.729166666666668
179,2019-06-29,26.712500000000002
180,2019-06-30,23.120833333333334
181,2019-07-01,20.075
182,2019-07-02,19.545833333333334
183,2019-07-03,20.275000000000002
184,2019-07-04,20.870833333333334
185,2019-07-05,22.629166666666666
186,2019-07-06,24.116666666666664
187,2019-07-07,21.216666666666665
188,2019-07-08,19.108333333333334
189,2019-07-09,18.537499999999998
190,2019-07-10,21.1375
191,2019-07-11,22.554166666666664
192,2019-07-12,20.829166666666666
193,2019-07-13,20.2375
194,2019-07-14,18.5125
195,2019-07-15,18.716666666666665
196,2019-07-16,19.291666666666668
197,2019-07-17,21.629166666666666
198,2019-07-18,20.650000000000002
199,2019-07-19,21.608333333333334
200,2019-07-20,22.27916666666667
201,2019-07-21,21.795833333333334
202,2019-07-22,24.254166666666666
203,2019-07-23,28.245833333333334
204,2019-07-24,30.5
205,2019-07-25,32.92916666666667
206,2019-07-26,25.47083333333333
207,2019-07-27,18.995833333333334
208,2019-07-28,19.254166666666666
209,2019-07-29,20.791666666666668
210,2019-07-30,20.616666666666667
211,2019-07-31,19.154166666666665
212,2019-08-01,21.091666666666665
213,2019-08-02,21.46666666666667
214,2019-08-03,20.162499999999998
215,2019-08-04,23.03333333333333
216,2019-08-05,22.266666666666666
217,2019-08-06,20.270833333333332
218,2019-08-07,20.266666666666666
219,2019-08-08,22.3875
220,2019-08-09,22.7625
221,2019-08-10,21.320833333333333
222,2019-08-11,18.212500000000002
223,2019-08-12,17.400000000000002
224,2019-08-13,15.829166666666666
225,2019-08-14,17.895833333333332
226,2019-08-15,19.283333333333335
227,2019-08-16,19.337500000000002
228,2019-08-17,18.5625
229,2019-08-18,19.291666666666668
230,2019-08-19,17.941666666666666
231,2019-08-20,17.241666666666667
232,2019-08-21,17.308333333333334
233,2019-08-22,18.925
234,2019-08-23,20.541666666666668
235,2019-08-24,22.379166666666666
236,2019-08-25,23.675
237,2019-08-26,24.84583333333333
238,2019-08-27,24.9375
239,2019-08-28,23.40416666666667
240,2019-08-29,20.616666666666667
241,2019-08-30,19.8625
242,2019-08-31,22.358333333333334
243,2019-09-01,18.695833333333333
244,2019-09-02,17.070833333333333
245,2019-09-03,17.670833333333334
246,2019-09-04,17.474999999999998
247,2019-09-05,15.541666666666666
248,2019-09-06,15.325000000000001
249,2019-09-07,16.229166666666668
250,2019-09-08,14.533333333333333
251,2019-09-09,13.941666666666668
252,2019-09-10,16.55
253,2019-09-11,17.529166666666665
254,2019-09-12,20.083333333333332
255,2019-09-13,18.904166666666665
256,2019-09-14,20.441666666666666
257,2019-09-15,20.220833333333335
258,2019-09-16,19.295833333333334
259,2019-09-17,18.641666666666666
260,2019-09-18,15.266666666666666
261,2019-09-19,15.4
262,2019-09-20,16.820833333333333
263,2019-09-21,20.933333333333334
264,2019-09-22,19.320833333333333
265,2019-09-23,17.241666666666667
266,2019-09-24,16.854166666666668
267,2019-09-25,16.275000000000002
268,2019-09-26,18.008333333333333
269,2019-09-27,17.320833333333333
270,2019-09-28,16.508333333333333
271,2019-09-29,16.75
272,2019-09-30,16.375
273,2019-10-01,17.383333333333333
274,2019-10-02,13.549999999999999
275,2019-10-03,9.737499999999999
276,2019-10-04,14.466666666666667
277,2019-10-05,14.908333333333333
278,2019-10-06,14.533333333333333
279,2019-10-07,14.320833333333333
280,2019-10-08,14.375
281,2019-10-09,12.816666666666668
282,2019-10-10,13.520833333333334
283,2019-10-11,14.708333333333334
284,2019-10-12,16.258333333333333
285,2019-10-13,18.912499999999998
286,2019-10-14,18.079166666666666
287,2019-10-15,13.966666666666667
288,2019-10-16,13.720833333333333
289,2019-10-17,14.679166666666667
290,2019-10-18,14.083333333333334
291,2019-10-19,12.941666666666668
292,2019-10-20,11.833333333333334
293,2019-10-21,12.370833333333332
294,2019-10-22,10.433333333333334
295,2019-10-23,13.891666666666666
296,2019-10-24,14.220833333333333
297,2019-10-25,13.029166666666667
298,2019-10-26,15.275
299,2019-10-27,11.329166666666666
300,2019-10-28,9.529166666666667
301,2019-10-29,9.079166666666667
302,2019-10-30,9.116666666666667
303,2019-10-31,10.325000000000001
304,2019-11-01,12.975
305,2019-11-02,13.520833333333334
306,2019-11-03,11.637500000000001
307,2019-11-04,11.154166666666667
308,2019-11-05,9.645833333333334
309,2019-11-06,9.091666666666667
310,2019-11-07,8.454166666666667
311,2019-11-08,6.870833333333334
312,2019-11-09,6.608333333333333
313,2019-11-10,7.05
314,2019-11-11,6.258333333333333
315,2019-11-12,6.075
316,2019-11-13,6.491666666666667
317,2019-11-14,6.295833333333333
318,2019-11-15,3.725
319,2019-11-16,5.558333333333334
320,2019-11-17,4.479166666666667
321,2019-11-18,5.216666666666667
