,fields.date,objet_jour
1237,2022-05-22,26
1238,2022-05-23,98
1239,2022-05-24,63
1240,2022-05-25,61
1241,2022-05-26,54
1242,2022-05-27,58
1243,2022-05-28,35
1244,2022-05-29,34
1245,2022-05-30,84
1246,2022-05-31,125
1247,2022-06-01,80
1248,2022-06-02,76
1249,2022-06-03,84
1250,2022-06-04,46
1251,2022-06-05,37
1252,2022-06-06,27
1253,2022-06-07,119
1254,2022-06-08,105
1255,2022-06-09,88
1256,2022-06-10,93
1257,2022-06-11,37
1258,2022-06-12,38
1259,2022-06-13,118
1260,2022-06-14,61
1261,2022-06-15,79
1262,2022-06-16,107
1263,2022-06-17,68
1264,2022-06-18,41
1265,2022-06-19,39
1266,2022-06-20,82
1267,2022-06-21,71
1268,2022-06-22,69
1269,2022-06-23,83
1270,2022-06-24,85
1271,2022-06-25,69
1272,2022-06-26,34
1273,2022-06-27,84
1274,2022-06-28,69
1275,2022-06-29,90
1276,2022-06-30,93
1277,2022-07-01,92
1278,2022-07-02,50
1279,2022-07-03,28
1280,2022-07-04,98
1281,2022-07-05,65
1282,2022-07-06,80
1283,2022-07-07,65
1284,2022-07-08,91
1285,2022-07-09,74
1286,2022-07-10,25
1287,2022-07-11,77
1288,2022-07-12,88
1289,2022-07-13,61
1290,2022-07-14,24
1291,2022-07-15,84
1292,2022-07-16,59
1293,2022-07-17,25
1294,2022-07-18,86
1295,2022-07-19,96
1296,2022-07-20,76
1297,2022-07-21,71
1298,2022-07-22,106
1299,2022-07-23,57
1300,2022-07-24,37
1301,2022-07-25,66
1302,2022-07-26,82
1303,2022-07-27,59
1304,2022-07-28,91
1305,2022-07-29,73
1306,2022-07-30,47
1307,2022-07-31,24
1308,2022-08-01,68
1309,2022-08-02,67
1310,2022-08-03,61
1311,2022-08-04,103
1312,2022-08-05,56
1313,2022-08-06,48
1314,2022-08-07,28
1315,2022-08-08,90
1316,2022-08-09,61
1317,2022-08-10,63
1318,2022-08-11,72
1319,2022-08-12,95
1320,2022-08-13,84
1321,2022-08-14,58
1322,2022-08-15,35
1323,2022-08-16,101
1324,2022-08-17,71
1325,2022-08-18,82
1326,2022-08-19,65
1327,2022-08-20,49
1328,2022-08-21,42
1329,2022-08-22,76
1330,2022-08-23,89
1331,2022-08-24,74
1332,2022-08-25,93
1333,2022-08-26,80
1334,2022-08-27,49
1335,2022-08-28,23
1336,2022-08-29,86
1337,2022-08-30,82
1338,2022-08-31,72
1339,2022-09-01,77
1340,2022-09-02,86
1341,2022-09-03,65
1342,2022-09-04,30
1343,2022-09-05,71
1344,2022-09-06,90
1345,2022-09-07,47
1346,2022-09-08,52
1347,2022-09-09,60
1348,2022-09-10,61
1349,2022-09-11,29
1350,2022-09-12,64
1351,2022-09-13,72
1352,2022-09-14,68
1353,2022-09-15,85
1354,2022-09-16,70
1355,2022-09-17,60
1356,2022-09-18,35
1357,2022-09-19,103
1358,2022-09-20,109
1359,2022-09-21,63
1360,2022-09-22,80
1361,2022-09-23,65
1362,2022-09-24,54
1363,2022-09-25,18
1364,2022-09-26,77
1365,2022-09-27,86
1366,2022-09-28,74
1367,2022-09-29,96
1368,2022-09-30,115
1369,2022-10-01,64
1370,2022-10-02,24
1371,2022-10-03,101
1372,2022-10-04,110
1373,2022-10-05,50
1374,2022-10-06,85
1375,2022-10-07,68
1376,2022-10-08,80
1377,2022-10-09,26
1378,2022-10-10,98
1379,2022-10-11,81
1380,2022-10-12,73
1381,2022-10-13,75
1382,2022-10-14,68
1383,2022-10-15,45
1384,2022-10-16,30
1385,2022-10-17,103
1386,2022-10-18,69
1387,2022-10-19,123
1388,2022-10-20,91
1389,2022-10-21,80
1390,2022-10-22,63
1391,2022-10-23,27
1392,2022-10-24,95
1393,2022-10-25,113
1394,2022-10-26,59
1395,2022-10-27,77
1396,2022-10-28,73
1397,2022-10-29,84
1398,2022-10-30,28
1399,2022-10-31,60
1400,2022-11-01,52
1401,2022-11-02,77
1402,2022-11-03,67
1403,2022-11-04,59
1404,2022-11-05,61
1405,2022-11-06,35
1406,2022-11-07,92
1407,2022-11-08,72
1408,2022-11-09,61
1409,2022-11-10,66
1410,2022-11-11,36
1411,2022-11-12,66
1412,2022-11-13,26
1413,2022-11-14,68
1414,2022-11-15,91
1415,2022-11-16,66
1416,2022-11-17,121
1417,2022-11-18,93
1418,2022-11-19,66
1419,2022-11-20,24
1420,2022-11-21,84
1421,2022-11-22,98
1422,2022-11-23,59
1423,2022-11-24,79
1424,2022-11-25,87
1425,2022-11-26,57
1426,2022-11-27,29
1427,2022-11-28,95
1428,2022-11-29,96
1429,2022-11-30,66
1430,2022-12-01,96
1431,2022-12-02,91
1432,2022-12-03,51
1433,2022-12-04,15
1434,2022-12-05,65
1435,2022-12-06,47
1436,2022-12-07,75
1437,2022-12-08,103
1438,2022-12-09,71
1439,2022-12-10,52
1440,2022-12-11,40
1441,2022-12-12,75
1442,2022-12-13,56
1443,2022-12-14,80
1444,2022-12-15,73
1445,2022-12-16,89
1446,2022-12-17,82
1447,2022-12-18,24
1448,2022-12-19,67
1449,2022-12-20,76
1450,2022-12-21,72
1451,2022-12-22,84
1452,2022-12-23,80
1453,2022-12-24,54
1454,2022-12-25,24
1455,2022-12-26,65
1456,2022-12-27,84
1457,2022-12-28,67
1458,2022-12-29,65
1459,2022-12-30,61
1460,2022-12-31,73
